fancigul,fanciful
velofity,velocity
commitree,committee
deterkines,determines
exhausyed,exhausted
drabging,dragging
munoch,munich
vicforious,victorious
perfotmances,performances
lieugenants,lieutenants
prooosing,proposing
dowwger,dowager
broughxm,brougham
relatjve,relative
trihal,tribal
grazihg,grazing
featheres,feathered
presjded,presided
adverwity,adversity
susoicions,suspicions
hosoitality,hospitality
symptony,symphony
impairrd,impaired
divlrce,divorce
wagonw,wagons
blihding,blinding
colourc,colours
oppositiob,opposition
mastdr,master
insish,insist
weatily,wearily
wizafd,wizard
manueactured,manufactured
unddrgone,undergone
applintment,appointment
rourine,routine
parentq,parents
pemgroke,pembroke
henderspn,henderson
teachimg,teaching
cleaming,cleaning
resimed,resumed
enahles,enables
insosting,insisting
winnibg,winning
mannets,manners
genuihe,genuine
hailex,hailed
notning,nothing
franofort,frankfort
cholses,chooses
lovfliest,loveliest
strjdes,strides
sciengific,scientific
watsom,watson
conwumer,consumer
devohr,devour
mariue,marius
preqcher,preacher
incidenyally,incidentally
arrestsd,arrested
patgiotism,patriotism
squqre,square
honohrable,honourable
acknowlesged,acknowledged
eminenfe,eminence
withsfand,withstand
ignkred,ignored
jewrls,jewels
metrkpolitan,metropolitan
respwctive,respective
grinnex,grinned
carpwts,carpets
whisku,whisky
valkant,valiant
primafily,primarily
biovraphical,biographical
senagor,senator
repeesents,represents
reputwtion,reputation
unwisr,unwise
clexned,cleaned
lablurs,labours
appoinr,appoint
muttefed,muttered
crossex,crosses
locwte,locate
equagor,equator
mechanlcally,mechanically
corresponvents,correspondents
inmkst,inmost
thebea,thebes
doubtfuk,doubtful
angkish,anguish
musicoans,musicians
contaon,contain
origim,origin
organisk,organism
boreow,borrow
thixker,thicker
stowwd,stowed
corjish,cornish
flaviur,flavour
launfelot,launcelot
deseets,deserts
addreszes,addresses
frozrn,frozen
lustrr,lustre
accysation,accusation
scrwmble,scramble
voyagds,voyages
mislwd,misled
conspled,consoled
livelj,lively
detrctives,detectives
mysterg,mystery
unlimuted,unlimited
stathe,statue
surllus,surplus
gapimg,gaping
valhed,valued
cavjty,cavity
altwred,altered
slerve,sleeve
peroendicular,perpendicular
generaply,generally
merdies,mercies
dramaq,dramas
respinsibilities,responsibilities
chalel,chapel
scratxhing,scratching
wondefed,wondered
sinhing,singing
undernrath,underneath
baphized,baptized
decloned,declined
sixlence,sixpence
muskwts,muskets
spidit,spirit
reliqble,reliable
exchfquer,exchequer
detachkent,detachment
exporys,exports
matriminy,matrimony
dartfd,darted
laborahory,laboratory
altigude,altitude
maritims,maritime
cinbamon,cinnamon
impkssible,impossible
whiqpered,whispered
federao,federal
explakned,explained
advofates,advocates
unjjstly,unjustly
prevdnting,preventing
morgal,mortal
outwqrdly,outwardly
flatterj,flattery
murpgy,murphy
unclsan,unclean
conditkon,condition
finxnce,finance
inqulry,inquiry
duchwss,duchess
pluhged,plunged
uncputh,uncouth
soclety,society
feeoings,feelings
ponwered,pondered
lorfaine,lorraine
reswmbled,resembled
proxeedings,proceedings
deeped,deeper
meritdd,merited
noubht,nought
copkous,copious
whietle,whistle
insgalled,installed
repfatedly,repeatedly
dollwr,dollar
undlsturbed,undisturbed
reforked,reformed
knockibg,knocking
drauhht,draught
culrivation,cultivation
tempfrate,temperate
hisrory,history
brandj,brandy
warmedt,warmest
seaskn,season
pietce,pierce
trustinv,trusting
produfts,products
tigmtly,tightly
stixking,sticking
mareies,marries
unconsdious,unconscious
estavlishment,establishment
muzzpe,muzzle
reaply,really
remembefs,remembers
isthnus,isthmus
violfts,violets
rabgit,rabbit
undonf,undone
renswal,renewal
cirdus,circus
wesgward,westward
deafly,dearly
indofference,indifference
incdnse,incense
harawsed,harassed
frienfships,friendships
bendimg,bending
escapinb,escaping
mcciellan,mcclellan
batyles,battles
arcges,arches
penalyies,penalties
affirds,affords
helplessjess,helplessness
revwrence,reverence
sensigle,sensible
trukpets,trumpets
enteryainment,entertainment
mohammedaj,mohammedan
comnonly,commonly
difterences,differences
obswrving,observing
daygreak,daybreak
flokrished,flourished
ignorznt,ignorant
deaping,dealing
forsske,forsake
inshances,instances
parliameht,parliament
gloomt,gloomy
decisuve,decisive
sengences,sentences
campaigm,campaign
angeis,angels
poispn,poison
votihg,voting
hawthprne,hawthorne
beseie,bessie
favouts,favours
bernatd,bernard
attadked,attacked
smilongly,smilingly
labkrer,laborer
margegy,margery
affwctation,affectation
bloodrd,blooded
geneta,genera
weaien,weaken
thicketa,thickets
prihce,prince
likeky,likely
furnkture,furniture
efffcts,effects
mounyed,mounted
sockalism,socialism
hanrkerchiefs,handkerchiefs
acckse,accuse
appaeent,apparent
correftion,correction
defectuve,defective
naturzlist,naturalist
minerala,minerals
antelopr,antelope
attjtude,attitude
goofly,goodly
invaruable,invariable
fistermen,fishermen
meetkngs,meetings
sonner,sonnet
belomged,belonged
humorojs,humorous
othfrs,others
herfby,hereby
whithsr,whither
chicaro,chicago
watchmab,watchman
disorxered,disordered
peoplds,peoples
eventuqlly,eventually
desogned,designed
fairwr,fairer
poetiv,poetic
impflled,impelled
eastefn,eastern
probablh,probably
palacf,palace
woubded,wounded
immigrznts,immigrants
hammef,hammer
loadihg,loading
reqiires,requires
arcged,arched
humohrey,humphrey
hollowz,hollows
entjre,entire
judgkents,judgments
efficqcy,efficacy
famime,famine
rendrr,render
consllation,consolation
coldpy,coldly
prokise,promise
stormdd,stormed
fascinqting,fascinating
courtepus,courteous
farmera,farmers
equoty,equity
cherriws,cherries
rolanc,roland
gladqtone,gladstone
constifuent,constituent
hisgorical,historical
provike,provoke
stumnled,stumbled
agrded,agreed
latiyude,latitude
exphlsion,expulsion
indidect,indirect
clareg,claret
infogm,inform
busheps,bushels
soveteign,sovereign
geogfaphical,geographical
procuging,procuring
dissppointment,disappointment
fruutless,fruitless
inslsted,insisted
berrkes,berries
roaeed,roared
rigjts,rights
assemt,assent
antkine,antoine
jenhie,jennie
genrva,geneva
popuoar,popular
panthsr,panther
useiess,useless
goddees,goddess
prophecied,prophesied
dynqsty,dynasty
seemrd,seemed
belbium,belgium
provosion,provision
traitpr,traitor
englamd,england
hazatdous,hazardous
depicged,depicted
eagkes,eagles
quidkened,quickened
retrdating,retreating
ricjest,richest
nareative,narrative
conqiering,conquering
detailef,detailed
hortor,horror
bitimg,biting
huntihg,hunting
commrncement,commencement
runaays,runways
wildfst,wildest
unjhst,unjust
morming,morning
belidver,believer
cotgon,cotton
jeajne,jeanne
desfendant,descendant
fordsts,forests
youfe,youre
beginnibg,beginning
drigers,drivers
colhmbus,columbus
